   1 	     9.3911 
   2 	    18.8324 
   3 	    28.2168 
   4 	    37.6818 
   5 	    47.0459 
   6 	    56.5444 
   7 	    65.8896 
   8 	    75.3719 
   9 	    84.7653 
  10 	    94.2560 
  11 	   103.6220 
  12 	   113.0004 
  13 	   122.5222 
  14 	   131.8800 
  15 	   141.3490 
  16 	   150.7376 
  17 	   160.1413 
  18 	   169.6511 
  19 	   179.1159 
  20 	   188.4664 
  21 	   197.9320 
  22 	   207.4163 
  23 	   216.8165 
  24 	   226.1960 
  25 	   235.6745 
  26 	   282.7512 
  27 	   292.1765 
  28 	   301.6057 
  29 	   310.9672 
  30 	   320.4215 
  31 	   329.9844 
  32 	   339.2609 
  33 	   348.7054 
  34 	   358.1782 
  35 	   367.6321 
  36 	   376.9887 
  37 	   386.4825 
  38 	   395.8688 
  39 	   405.2381 
  40 	   414.7107 
  41 	   424.1035 
  42 	   433.5496 
  43 	   442.9728 
  44 	   452.3745 
  45 	   461.7343 
  46 	   471.2499 
  47 	   480.6640 
  48 	   490.1084 
  49 	   499.5566 
  50 	   509.0021 
