   1 	     9.3183 
   2 	    18.7680 
   3 	    28.1725 
   4 	    37.5425 
   5 	    47.0077 
   6 	    56.4522 
   7 	    65.8468 
   8 	    75.2467 
   9 	    84.6063 
  10 	    94.0612 
  11 	   103.4957 
  12 	   112.9506 
  13 	   122.3698 
  14 	   131.7645 
  15 	   141.2190 
  16 	   150.6287 
  17 	   160.0832 
  18 	   169.5277 
  19 	   178.8972 
  20 	   188.4020 
  21 	   197.7963 
  22 	   207.2058 
  23 	   216.6698 
  24 	   226.0492 
  25 	   235.5032 
  26 	   282.6496 
  27 	   292.0141 
  28 	   301.4584 
  29 	   310.8425 
  30 	   320.2915 
  31 	   329.8111 
  32 	   339.1749 
  33 	   348.5494 
  34 	   358.0137 
  35 	   367.4482 
  36 	   376.8724 
  37 	   386.2614 
  38 	   395.7508 
  39 	   405.1259 
  40 	   414.5958 
  41 	   424.0102 
  42 	   433.4495 
  43 	   442.8938 
  44 	   452.2933 
  45 	   461.6875 
  46 	   471.0920 
  47 	   480.5562 
  48 	   489.9702 
  49 	   499.4092 
  50 	   508.8429 
